#Parameters = {d=500; p=50; phi=0; r1=40; r2=15; t=0.2; theta=0; w=2.5; Mesh Pass=3}
#"Frequency / THz"	"S2,1 (3) [Magnitude / dB]"
#---------------------------------------------
1.1434999704361	-1.8227575954195
1.1480000019073	-1.8071388933580
1.1525000333786	-1.7930210263499
1.1569999456406	-1.7803763677542
1.1614999771118	-1.7691704702033
1.1660000085831	-1.7593586841461
1.1705000400543	-1.7508898976258
1.1749999523163	-1.7437048549849
1.1794999837875	-1.7377345944753
1.1840000152588	-1.7329054991133
1.1885000467300	-1.7291376193165
1.1929999589920	-1.7263435182312
1.1974999904633	-1.7244372359835
1.2020000219345	-1.7233268759760
1.2065000534058	-1.7229256160012
1.2109999656677	-1.7231429749862
1.2154999971390	-1.7238966288164
1.2200000286102	-1.7251065498912
1.2244999408722	-1.7267006030764
1.2289999723434	-1.7286128733964
1.2335000038147	-1.7307888503066
1.2380000352859	-1.7331837004080
1.2424999475479	-1.7357648879508
1.2469999790192	-1.7385063294191
1.2515000104904	-1.7413992734377
1.2560000419617	-1.7444421904802
1.2604999542236	-1.7476465105411
1.2649999856949	-1.7510335943927
1.2695000171661	-1.7546322670053
1.2740000486374	-1.7584791091666
1.2784999608994	-1.7626209823966
1.2829999923706	-1.7671021747601
1.2875000238419	-1.7719800219787
1.2920000553131	-1.7773022619578
1.2964999675751	-1.7831262515721
1.3009999990463	-1.7894995056931
1.3055000305176	-1.7964721559293
1.3099999427795	-1.8040839777506
1.3144999742508	-1.8123726993254
1.3190000057220	-1.8213659234518
1.3235000371933	-1.8310851194110
1.3279999494553	-1.8415402293839
1.3324999809265	-1.8527331026627
1.3370000123978	-1.8646571534093
1.3415000438690	-1.8772941499364
1.3459999561310	-1.8906193734910
1.3504999876022	-1.9045952730120
1.3550000190735	-1.9191853595551
1.3595000505447	-1.9343386856186
1.3639999628067	-1.9500041819835
1.3684999942780	-1.9661272195355
1.3730000257492	-1.9826499572842
1.3775000572205	-1.9995150964798
1.3819999694824	-2.0166695184550
1.3865000009537	-2.0340597046120
1.3910000324249	-2.0516405771652
1.3954999446869	-2.0693725502363
1.3999999761581	-2.0872245471935
1.4045000076294	-2.1051769834743
1.4090000391006	-2.1232144845176
1.4134999513626	-2.1413401014697
1.4179999828339	-2.1595640397480
1.4225000143051	-2.1779089697263
1.4270000457764	-2.1964072765777
1.4314999580383	-2.2151025132980
1.4359999895096	-2.2340499825801
1.4405000209808	-2.2533100840751
1.4450000524521	-2.2729533177423
1.4494999647141	-2.2930535883921
1.4539999961853	-2.3136868637786
1.4585000276566	-2.3349333218225
1.4630000591278	-2.3568736894067
1.4674999713898	-2.3795830618522
1.4720000028610	-2.4031350970354
1.4765000343323	-2.4275951419072
1.4809999465942	-2.4530236119586
1.4854999780655	-2.4794672473407
1.4900000095367	-2.5069672190601
1.4945000410080	-2.5355500077323
